x_ngram,file_count
x8_x14_x15,333
x13_x7_x8,193
x13_x8_x14,302
x11_x3_x6,265
x7_x7_x7,338
x12_x13_x7,360
x10_x11_x3,199
x14_x15_x5,306
x9_x12_x13,330
x13_x8_x9,192
x7_x8_x9,284
x8_x9_x12,330
x8_x9_x11,109
x6_x7_x7,332
x8_x14_x13,314
x14_x13_x7,332
x14_x15_x14,332
x8_x9_x10,175
x11_x21_x65,175
x14_x15_x9,229
x13_x7_x7,361
x9_x11_x21,175
x7_x7_x8,386
x5_x3_x6,328
x21_x65_x65,223
x15_x14_x13,329
x15_x5_x3,293
x3_x6_x7,334
x7_x8_x14,331
x65_x65_x65,223
x14_x13_x8,303
x12_x13_x8,184
x9_x10_x11,167
